id,host_id,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,review_scores_rating,instant_bookable,super_host
44108724,30883070,31.0,1,1,Koto Ku,35.68389,139.81459,Private room,4,1 private bath,1.0,1.0,6221.0,17,95.0,1,0
44110184,276753189,3.0,1,1,Shinjuku Ku,35.70278,139.70367,Entire home/apt,2,1 bath,1.0,0.0,5714.0,0,,0,0
44110486,276753189,3.0,1,1,Shinjuku Ku,35.70284,139.70164,Entire home/apt,2,1 bath,1.0,0.0,5786.0,1,100.0,0,0
44114070,354298704,0.0,1,1,Koto Ku,35.67613,139.79536,Private room,5,1 private bath,2.0,3.0,13429.0,0,,1,0
44123392,354531999,0.0,1,1,Adachi Ku,35.79383,139.78964,Entire home/apt,2,1 bath,1.0,1.0,6357.0,0,,1,0
44124430,10424827,21.0,1,1,Toshima Ku,35.73945,139.71884,Entire home/apt,4,1 bath,1.0,1.0,4500.0,13,86.0,1,0
44124599,10424827,21.0,1,1,Toshima Ku,35.739,139.71873,Entire home/apt,4,1 bath,1.0,2.0,4500.0,8,88.0,1,0
44125000,10424827,21.0,1,1,Toshima Ku,35.7401,139.68703,Entire home/apt,10,1 bath,3.0,4.0,9000.0,11,85.0,1,0
44125110,354576804,3.0,1,1,Taito Ku,35.71618,139.79292,Private room,2,1 private bath,1.0,1.0,3486.0,20,93.0,1,1
44125369,354576804,3.0,1,1,Taito Ku,35.71618,139.79292,Private room,2,1 private bath,1.0,2.0,3486.0,0,,1,1
44140660,235126408,1.0,1,1,Shinjuku Ku,35.71518,139.69701,Entire home/apt,2,1 bath,1.0,1.0,10543.0,0,,1,0
44140742,235126408,1.0,1,1,Shinjuku Ku,35.71512,139.6973,Entire home/apt,2,1 bath,1.0,1.0,10543.0,0,,1,0
44140882,235126408,1.0,1,1,Shinjuku Ku,35.7139,139.699,Entire home/apt,3,1 bath,1.0,1.0,11000.0,0,,1,0
44140914,235126408,1.0,1,1,Shinjuku Ku,35.71495,139.69714,Entire home/apt,3,1 bath,1.0,1.0,10543.0,0,,1,0
44140941,235126408,1.0,1,1,Shinjuku Ku,35.71561,139.69879,Entire home/apt,3,1 bath,1.0,1.0,10543.0,0,,1,0
44140981,235126408,1.0,1,1,Shinjuku Ku,35.71537,139.69855,Entire home/apt,3,1 bath,1.0,1.0,10543.0,1,100.0,1,0
44141008,235126408,1.0,1,1,Shinjuku Ku,35.71574,139.697,Entire home/apt,3,1 bath,1.0,1.0,10543.0,0,,1,0
44141060,235126408,1.0,1,1,Shinjuku Ku,35.71353,139.69763,Entire home/apt,3,1 bath,1.0,1.0,10543.0,0,,1,0
44141086,235126408,1.0,1,1,Shinjuku Ku,35.71485,139.69701,Entire home/apt,3,1 bath,1.0,1.0,10543.0,2,100.0,1,0
44141124,354531999,0.0,1,1,Adachi Ku,35.79211,139.79009,Entire home/apt,1,1 bath,1.0,0.0,5500.0,0,,1,0
44141153,343260629,0.0,1,1,Shinjuku Ku,35.71508,139.69731,Entire home/apt,3,1 bath,1.0,1.0,10000.0,1,100.0,1,1
44141187,343260629,0.0,1,1,Shinjuku Ku,35.71527,139.69768,Entire home/apt,3,1 bath,1.0,1.0,9714.0,0,,1,1
44141405,343260629,0.0,1,1,Shinjuku Ku,35.71353,139.69892,Entire home/apt,3,1 bath,1.0,1.0,10000.0,0,,1,1
44141442,343260629,0.0,1,1,Shinjuku Ku,35.71382,139.69704,Entire home/apt,3,1 bath,1.0,1.0,10000.0,0,,1,1
44141484,343260629,0.0,1,1,Shinjuku Ku,35.71352,139.69759,Entire home/apt,3,1 bath,1.0,1.0,9714.0,0,,1,1
44141517,343260629,0.0,1,1,Shinjuku Ku,35.71568,139.69862,Entire home/apt,3,1 bath,1.0,1.0,9714.0,2,100.0,1,1
44141552,343260629,0.0,1,1,Shinjuku Ku,35.71383,139.69727,Entire home/apt,3,1 bath,1.0,1.0,9714.0,1,100.0,1,1
44141592,343260629,0.0,1,1,Shinjuku Ku,35.71412,139.69886,Entire home/apt,3,1 bath,1.0,1.0,9714.0,1,100.0,1,1
44141622,343260629,0.0,1,1,Shinjuku Ku,35.71351,139.69761,Entire home/apt,3,1 bath,1.0,1.0,9714.0,4,100.0,1,1
44141684,343260629,0.0,1,1,Shinjuku Ku,35.71551,139.69851,Entire home/apt,3,1 bath,1.0,1.0,9714.0,0,,1,1
44141723,343260629,0.0,1,1,Shinjuku Ku,35.71542,139.69864,Entire home/apt,3,1 bath,1.0,1.0,10000.0,1,100.0,1,1
